time,top20_cop_min,top50_cop_min,all_cop_min,all_minus_top20_cop_min,all_minus_top50_cop_min,all_minus_top50_minus_1_cop_min,top20_cop_avg,top50_cop_avg,all_cop_avg,all_minus_top20_cop_avg,all_minus_top50_cop_avg,all_minus_top50_minus_1_cop_avg,top20_cop_max,top50_cop_max,all_cop_max,all_minus_top20_cop_max,all_minus_top50_cop_max,all_minus_top50_minus_1_cop_max,top20_electricity_input_min,top50_electricity_input_min,all_electricity_input_min,all_minus_top20_electricity_input_min,all_minus_top50_electricity_input_min,all_minus_top50_minus_1_electricity_input_min,top20_electricity_input_avg,top50_electricity_input_avg,all_electricity_input_avg,all_minus_top20_electricity_input_avg,all_minus_top50_electricity_input_avg,all_minus_top50_minus_1_electricity_input_avg,top20_electricity_input_max,top50_electricity_input_max,all_electricity_input_max,all_minus_top20_electricity_input_max,all_minus_top50_electricity_input_max,all_minus_top50_minus_1_electricity_input_max,top20_heat_output_min,top50_heat_output_min,all_heat_output_min,all_minus_top20_heat_output_min,all_minus_top50_heat_output_min,all_minus_top50_minus_1_heat_output_min,top20_heat_output_avg,top50_heat_output_avg,all_heat_output_avg,all_minus_top20_heat_output_avg,all_minus_top50_heat_output_avg,all_minus_top50_minus_1_heat_output_avg,top20_heat_output_max,top50_heat_output_max,all_heat_output_max,all_minus_top20_heat_output_max,all_minus_top50_heat_output_max,all_minus_top50_minus_1_heat_output_max
2014,3.085503469566204,2.902249924953671,2.5678328001535293,2.5173582265512957,2.3470492563753047,1.3470492563753047,4.904506769583141,4.6265202205463565,4.096215612342416,3.970271630663591,3.7594496303655016,2.7594496303655007,5.803337971060174,5.475366001067352,4.829372064334544,4.661877201851116,4.434137717302232,3.4341377173022316,0.040050944104854574,0.04327518145144892,0.04875887267943667,0.05024545478971904,0.05292406592119035,0.07794444927448124,0.2117519964578597,0.22879875304386965,0.25779139207991447,0.2656510502424464,0.2798130448595607,0.4120974702486282,1.0515832249218553,1.136239254451861,1.2802198230723165,1.3192517321716173,1.3895817230095304,2.0465204295366903,0.228812414887306,0.23476034216674646,0.23343005069976047,0.23255055651269085,0.23228650119680694,0.26361888596468974,0.9127336081691434,0.9170643773094647,0.9165869111135412,0.9162503904053974,0.9157462531438292,0.9365770152444935,3.2722824892332607,3.309741222793583,3.300392478294674,3.3315630392539086,3.2783525665367557,2.7817062170478786
2015,2.9949506038025717,2.8736831415029127,2.5402268517529265,2.4968106924085816,2.3113998619853513,1.3113998619853513,4.633491403175321,4.344995873060155,3.8512605012314287,3.7345576767277846,3.539007144227414,2.539007144227414,5.83500947167801,5.4925861550795085,4.8440247720816885,4.6741099810054045,4.4497448032832985,3.4497448032832985,0.037704758521174726,0.040740119941120825,0.04590257636198958,0.04730207444481507,0.04982377245073086,0.07337846094879065,0.28248424170552267,0.3052251848290316,0.34390233446699936,0.3543873811879132,0.37327995541329656,0.5497518008767139,1.0846986162135503,1.172020547477863,1.3205352059879911,1.3607962683412163,1.4333410198475607,2.110967373158857,0.21948854033734555,0.22347630819489736,0.22207302880578478,0.22085616509584133,0.22137551915072765,0.25265455678553067,1.176054625329415,1.1773276088356401,1.177264132330149,1.1771988358768293,1.177008576737412,1.1836993939304132,3.2853573843361046,3.371575074279072,3.3583801628380736,3.4004965933726767,3.3189254683995038,2.7922985672900804
2016,2.987447240838713,2.8719424177324093,2.5385190436013714,2.4956281273606202,2.308978740459795,1.308978740459795,4.622759189939944,4.328102963829298,3.835467162201769,3.71806046282864,3.52583015955957,2.5258301595595705,5.816879188872269,5.483031313369988,4.835895774122727,4.667367455428501,4.441015045815897,3.441015045815897,0.037822153738226685,0.04086696587279613,0.046045495800453404,0.047449351274431645,0.04997890068415838,0.07360692761156437,0.29326360938579155,0.3168723283039584,0.3570253663463742,0.3679105138766894,0.3875240132863332,0.5707298800741993,1.0688945303913397,1.154944178944829,1.3012949751858744,1.3409694328590416,1.412457205531247,2.0802105260175296,0.21894560986619915,0.22340873738369937,0.22203237904557022,0.2209065561155376,0.22123097725073054,0.2522132145887959,1.1952031849365816,1.1912125885117324,1.1915157226206625,1.191205174277606,1.1924760120359548,1.1855011353126406,3.31889681002865,3.3609429839994327,3.3511992701390256,3.3835305165687872,3.327775657448163,2.820804473757224
2017,2.9173234907044834,2.86128144014807,2.5278930520147904,2.4888620672784225,2.2920590450458453,1.2920590450458453,4.658729311714613,4.372585733243695,3.8745129973559154,3.7569375979284216,3.559544821548879,2.5595448215488794,5.825900445415133,5.487898234955802,4.840036860847915,4.670818442239766,4.445435473995744,3.445435473995744,0.038005803910028675,0.04106540050863178,0.04626907543245924,0.047679747501303174,0.050221579452814635,0.07396433520382473,0.28309877193865296,0.30588918683798527,0.34465047666600523,0.35515833307770694,0.37409200714629953,0.5509477582169069,1.1546787227032163,1.2476342907744895,1.4057304786260074,1.4485890121926666,1.5258140401922191,2.247157942006033,0.21934213690849455,0.22404480789015824,0.22267996412730504,0.22159844189151864,0.22182466430028164,0.2527301655574889,1.1618899488963785,1.1629609172629238,1.1627790292716493,1.1630612685109534,1.1623985551043396,1.1609863805920317,3.4563670590512214,3.576158502806582,3.5607092046975555,3.609793742368177,3.5169026790817917,2.9426650390914264
2018,2.904183143113131,2.8606403667034956,2.52722750832878,2.4885334648285102,2.2905819475842657,1.2905819475842657,4.632844402136118,4.343503808459038,3.848244821969945,3.730855917357055,3.5363252763584265,2.5363252763584265,5.815343503803451,5.482182729373304,4.835173660808209,4.666762740678628,4.440248990122511,3.4402489901225106,0.03925164973729757,0.0424115411662513,0.04778579468659158,0.0492427091639575,0.05186786340850363,0.07638891642301286,0.3011733078134679,0.3254187843821923,0.36665480173641446,0.37783353575871176,0.39797603658713576,0.5861232022954785,1.3747219839706342,1.4853917836711898,1.673615833138926,1.7246417740663686,1.8165833172994468,2.675391313263086,0.2241273662070303,0.22962463735080416,0.22828552821597792,0.22733744783640505,0.2272474238451285,0.2582853651713767,1.2084649888887293,1.2090888101873816,1.2088914341787105,1.2096077249305006,1.2084983091574655,1.193704811989895,4.002411464097449,4.249595868541089,4.2301075926027325,4.292070570414487,4.162316021413011,3.4547013836679743
2019,2.991140564886356,2.872786156165795,2.5393474067196955,2.4961997074743483,2.3101584999481735,1.3101584999481735,4.627201739724831,4.332184264418083,3.839719350562624,3.7222321719256004,3.529886919925144,2.529886919925144,5.841492162398253,5.495762207600984,4.846725993109736,4.676317217006603,4.452701308187054,3.452701308187054,0.03765004449131196,0.04068100124559014,0.04583596633629647,0.04723343358315059,0.04975147230929874,0.07327198018983334,0.2869628578479186,0.31006434481752426,0.349354697180234,0.360005977950929,0.37919808247006026,0.5584677818987079,1.1783506010401252,1.2732118359041233,1.434549127666856,1.4782862969720458,1.5570945025528828,2.293226556903908,0.21790615050719114,0.22236371644395564,0.22099477693554437,0.21987733769143744,0.2201936789384987,0.2510204705100164,1.1844505741774582,1.182077680271402,1.182394248903715,1.181961989900378,1.1831022982517645,1.1839580024302363,3.5337312363190785,3.6600205651321707,3.645418577705325,3.691965688704875,3.601100477193333,3.010330314461142
2020,3.0673339640100297,2.8954737969384734,2.561336740149526,2.5123467143995053,2.3390572201757314,1.3390572201757314,4.652091607311603,4.356277872237822,3.8610261662247742,3.742590457426581,3.549434132920242,2.549434132920242,5.8374692988144865,5.4938082234441135,4.845064197534512,4.6749617271604045,4.45087836280292,3.4508783628029196,0.03763066796375133,0.040660064841597024,0.04581237693880749,0.047209124981660945,0.0497258678037156,0.0732342708972481,0.2777974777633978,0.3001611204343303,0.33819656818757365,0.3485076549785233,0.367086777964578,0.5406307366293385,1.046447667673485,1.1306902673619263,1.2739676862598688,1.3128089774423544,1.3827955016999096,2.0365259539908998,0.217963076312892,0.22236001725441312,0.2209872729471331,0.21985760206418686,0.22019977321918016,0.25106715521564243,1.162730015915186,1.1610325391418146,1.1613420661351845,1.1606551553701026,1.162007960460484,1.1707281499975355,3.228817909326,3.281545743596997,3.271336011113792,3.304810479254905,3.2454891539838893,2.7433007719124496
2021,2.9194057479091264,2.861431170999887,2.528046765909626,2.4889439852555357,2.292366191306082,1.292366191306082,4.624734940150438,4.3367444040364065,3.8425859496992283,3.725839004103247,3.53086505687488,2.53086505687488,5.817631453522502,5.483444945475708,4.836247750937096,4.667661911375363,4.441388921349029,3.441388921349029,0.03860670826536126,0.0417146797102382,0.04700062919752089,0.04843360520163011,0.05101562569628626,0.07513377477859266,0.2992578860729744,0.32334916467088404,0.3643229264995251,0.37543056527658647,0.3954449625081984,0.5823955375418017,1.2998200228346222,1.4044599596736274,1.5824285897893178,1.6306743736458476,1.7176064662566706,2.5296221624775144,0.22301676806078508,0.227728479755966,0.2263363388868598,0.22522242887824268,0.22548264736798598,0.25694805726018116,1.2069776969892188,1.2074834794361882,1.207300970354401,1.207954389313245,1.2069099933687966,1.1950932687241784,3.841113699095467,4.024486974440055,4.006950413546651,4.0626597102557325,3.9495375925141127,3.28709896767501
2022,2.9446489588516642,2.8641339860487656,2.5307814161701225,2.490541208508775,2.297221156216421,1.297221156216421,4.71259986654382,4.425337551232359,3.9204800030891223,3.800620865532565,3.6015942937466,2.6015942937466,5.84683761914827,5.498264504404334,4.8488537892194525,4.6780398088959885,4.455057917259038,3.4550579172590377,0.039019253613768484,0.0421604363636278,0.04750287069437099,0.04895115925972763,0.05156077082838161,0.0759366427434068,0.27058795974736455,0.29237121167451374,0.32941954734872503,0.33946303644014647,0.3575599861431012,0.5266000583556133,1.269565014906995,1.3717693206101556,1.5455954985244427,1.592718298777542,1.6776269334442644,2.4707419042608767,0.22389672739233382,0.22915727982793868,0.2277984021915451,0.22679549660320286,0.22681739911826182,0.25803535152860096,1.1201601654528635,1.1220103468848688,1.1217757043721546,1.1218850513021876,1.1213151765155447,1.1248281222904146,3.7412070456043978,3.9293514128108757,3.9120389626987073,3.967032580908735,3.8547284303329463,3.2063480807073335
2023,2.9706609029034756,2.868436274524805,2.5350632703426843,2.4932909615437455,2.3039252842715934,1.3039252842715934,4.695037001785759,4.4048739473688165,3.9030354572063946,3.783553944816157,3.586409732823726,2.586409732823726,5.823958663156799,5.486868398917792,4.839160682451387,4.67009083116325,4.444496021248231,3.4444960212482307,0.03678720324097618,0.039748698337216254,0.04478552501442539,0.04615096594091601,0.04861129775828839,0.07159277667611207,0.2681972649206978,0.2897880577756147,0.32650906453055095,0.3364638175324769,0.35440087732727127,0.5219474491397097,1.1814269865193197,1.2765358808873877,1.4382943848947558,1.4821457412614474,1.561159695809592,2.299213611074318,0.21240902516222898,0.216929601342043,0.21560575096151274,0.21455153938524948,0.21478514299249477,0.24473419842478683,1.113865561524635,1.1145026055115352,1.1145368612239352,1.1144153881120697,1.114463909769769,1.1193904596415822,3.542956945079436,3.6695759844701734,3.6549358748222778,3.70160450895446,3.6105020705793587,3.0181895513120534
2024,2.9348853595497912,2.8629037114691656,2.5295435141656166,2.489793976069239,2.2951203221460657,1.2951203221460657,4.528726826675602,4.233550155031611,3.754325717404845,3.640779464924421,3.4523571515471034,2.452357151547104,5.801428629365147,5.474253752240669,4.828425319762696,4.661075780022028,4.4331470291308905,3.4331470291308905,0.038061008702663844,0.04112504947500875,0.046336282923207656,0.04774900404380225,0.05029452809734446,0.07407177105222806,0.3147506881681731,0.34008919007717275,0.38318419386016,0.3948668833119963,0.4159174406910753,0.6125465852641058,1.2683914546854502,1.3705012847956042,1.5441667813068374,1.5912460221964888,1.6760761690386885,2.4684580004178294,0.21915199422017104,0.2242810495452901,0.22294927361569244,0.22196295839304053,0.22199385486843473,0.2525666333666703,1.294563158568148,1.294428702097253,1.294698808912915,1.2947537940232905,1.2947760102718353,1.2943477792907632,3.7467501716326033,3.9271782232901766,3.910065681868282,3.964427974071043,3.85404105514477,3.2076196458429362
